   R/R_sun      m/M_sun       T         Li    Be 
 1.75891e-02 5.76545e-04 1.55066e+07 -11 -44.030  
 1.78638e-02 6.03717e-04 1.55034e+07 -11 -44.030  
 1.81428e-02 6.32169e-04 1.55001e+07 -11 -44.030  
 1.84263e-02 6.61963e-04 1.54967e+07 -11 -44.030  
 1.87144e-02 6.93160e-04 1.54931e+07 -11 -44.030  
 1.90070e-02 7.25828e-04 1.54895e+07 -11 -44.030  
 1.93043e-02 7.60035e-04 1.54857e+07 -11 -44.030  
 1.96064e-02 7.95854e-04 1.54819e+07 -11 -44.030  
 1.99132e-02 8.33362e-04 1.54779e+07 -11 -44.030  
 2.02250e-02 8.72637e-04 1.54738e+07 -11 -44.030  
 2.05419e-02 9.13763e-04 1.54695e+07 -11 -44.030  
 2.08637e-02 9.56827e-04 1.54651e+07 -11 -44.030  
 2.11908e-02 1.00192e-03 1.54606e+07 -11 -44.031  
 2.15231e-02 1.04914e-03 1.54560e+07 -11 -44.031  
 2.18608e-02 1.09858e-03 1.54512e+07 -11 -44.031  
 2.22040e-02 1.15036e-03 1.54462e+07 -11 -44.031  
 2.25526e-02 1.20457e-03 1.54412e+07 -11 -44.031  
 2.29069e-02 1.26134e-03 1.54359e+07 -11 -44.031  
 2.32670e-02 1.32079e-03 1.54305e+07 -11 -44.031  
 2.36329e-02 1.38304e-03 1.54249e+07 -11 -44.031  
 2.40047e-02 1.44822e-03 1.54192e+07 -11 -44.031  
 2.43826e-02 1.51647e-03 1.54132e+07 -11 -44.031  
 2.47666e-02 1.58794e-03 1.54071e+07 -11 -44.031  
 2.51569e-02 1.66278e-03 1.54008e+07 -11 -44.031  
 2.55536e-02 1.74114e-03 1.53943e+07 -11 -44.031  
 2.59567e-02 1.82320e-03 1.53876e+07 -11 -44.031  
 2.63665e-02 1.90912e-03 1.53807e+07 -11 -44.031  
 2.67830e-02 1.99910e-03 1.53736e+07 -11 -44.031  
 2.72064e-02 2.09331e-03 1.53662e+07 -11 -44.031  
 2.76367e-02 2.19196e-03 1.53587e+07 -11 -44.032  
 2.80741e-02 2.29527e-03 1.53509e+07 -11 -44.032  
 2.85188e-02 2.40344e-03 1.53428e+07 -11 -44.032  
 2.89708e-02 2.51671e-03 1.53345e+07 -11 -44.032  
 2.94303e-02 2.63532e-03 1.53260e+07 -11 -44.032  
 2.98975e-02 2.75952e-03 1.53172e+07 -11 -44.032  
 3.03725e-02 2.88957e-03 1.53081e+07 -11 -44.032  
 3.08554e-02 3.02575e-03 1.52988e+07 -11 -44.032  
 3.13464e-02 3.16835e-03 1.52891e+07 -11 -44.032  
 3.18456e-02 3.31767e-03 1.52792e+07 -11 -44.032  
 3.23533e-02 3.47403e-03 1.52689e+07 -11 -44.032  
 3.28695e-02 3.63776e-03 1.52584e+07 -11 -44.033  
 3.33944e-02 3.80920e-03 1.52475e+07 -11 -44.033  
 3.39282e-02 3.98872e-03 1.52363e+07 -11 -44.033  
 3.44711e-02 4.17670e-03 1.52247e+07 -11 -44.033  
 3.50232e-02 4.37354e-03 1.52128e+07 -11 -44.033  
 3.55848e-02 4.57966e-03 1.52005e+07 -11 -44.033  
 3.61560e-02 4.79550e-03 1.51878e+07 -11 -44.033  
 3.67370e-02 5.02150e-03 1.51748e+07 -11 -44.033  
 3.73281e-02 5.25816e-03 1.51613e+07 -11 -44.034  
 3.79293e-02 5.50597e-03 1.51475e+07 -11 -44.034  
 3.85410e-02 5.76545e-03 1.51332e+07 -11 -44.034  
 3.91633e-02 6.03717e-03 1.51185e+07 -11 -44.034  
 3.97964e-02 6.32169e-03 1.51033e+07 -11 -44.034  
 4.04407e-02 6.61963e-03 1.50877e+07 -11 -44.034  
 4.10963e-02 6.93160e-03 1.50716e+07 -11 -44.034  
 4.17634e-02 7.25828e-03 1.50550e+07 -11 -44.035  
 4.24424e-02 7.60035e-03 1.50379e+07 -11 -44.035  
 4.31334e-02 7.95854e-03 1.50203e+07 -11 -44.035  
 4.38367e-02 8.33362e-03 1.50021e+07 -11 -44.035  
 4.45526e-02 8.72637e-03 1.49834e+07 -11 -44.035  
 4.52813e-02 9.13763e-03 1.49641e+07 -11 -44.036  
 4.60232e-02 9.56827e-03 1.49443e+07 -11 -44.036  
 4.67786e-02 1.00192e-02 1.49238e+07 -11 -44.036  
 4.75477e-02 1.04914e-02 1.49027e+07 -11 -44.036  
 4.83308e-02 1.09858e-02 1.48810e+07 -11 -44.036  
 4.91283e-02 1.15036e-02 1.48587e+07 -11 -44.037  
 4.99405e-02 1.20457e-02 1.48356e+07 -11 -44.037  
 5.07677e-02 1.26134e-02 1.48119e+07 -11 -44.037  
 5.16104e-02 1.32079e-02 1.47874e+07 -11 -44.037  
 5.24687e-02 1.38304e-02 1.47622e+07 -11 -44.038  
 5.33432e-02 1.44822e-02 1.47363e+07 -11 -44.038  
 5.42342e-02 1.51647e-02 1.47096e+07 -11 -44.038  
 5.51422e-02 1.58794e-02 1.46821e+07 -11 -44.038  
 5.60674e-02 1.66278e-02 1.46537e+07 -11 -44.039  
 5.70104e-02 1.74114e-02 1.46245e+07 -11 -44.039  
 5.79716e-02 1.82320e-02 1.45945e+07 -11 -44.039  
 5.89514e-02 1.90912e-02 1.45635e+07 -11 -44.040  
 5.99503e-02 1.99910e-02 1.45316e+07 -11 -44.040  
 6.09688e-02 2.09331e-02 1.44988e+07 -11 -44.040  
 6.20075e-02 2.19196e-02 1.44650e+07 -11 -44.041  
 6.30667e-02 2.29527e-02 1.44302e+07 -11 -44.041  
 6.41471e-02 2.40344e-02 1.43944e+07 -11 -44.041  
 6.52493e-02 2.51671e-02 1.43575e+07 -11 -44.042  
 6.63737e-02 2.63532e-02 1.43195e+07 -11 -44.042  
 6.75210e-02 2.75952e-02 1.42804e+07 -11 -44.043  
 6.86918e-02 2.88957e-02 1.42402e+07 -11 -44.043  
 6.98869e-02 3.02575e-02 1.41988e+07 -11 -44.043  
 7.11067e-02 3.16835e-02 1.41561e+07 -11 -44.044  
 7.23520e-02 3.31767e-02 1.41123e+07 -11 -44.044  
 7.36236e-02 3.47403e-02 1.40671e+07 -11 -44.045  
 7.49222e-02 3.63776e-02 1.40206e+07 -11 -44.045  
 7.62486e-02 3.80920e-02 1.39728e+07 -11 -44.046  
 7.75773e-02 3.98521e-02 1.39246e+07 -11 -44.046  
 7.88938e-02 4.16378e-02 1.38765e+07 -11 -44.046  
 8.01994e-02 4.34499e-02 1.38284e+07 -11 -44.047  
 8.14953e-02 4.52888e-02 1.37805e+07 -11 -44.048  
 8.27826e-02 4.71551e-02 1.37326e+07 -11 -44.048  
 8.40626e-02 4.90496e-02 1.36847e+07 -11 -44.048  
 8.53361e-02 5.09730e-02 1.36368e+07 -11 -44.049  
 8.66043e-02 5.29259e-02 1.35889e+07 -11 -44.049  
 8.78679e-02 5.49092e-02 1.35410e+07 -11 -44.050  
